25	-0.408923566	0.015528944	0.809778452	0.037109375	-0.092773438	1.423828125	0	21.05
26	-0.432790369	0.761656046	0.063273512	0.041015625	-1.490234375	0.052734375	0	21.05
27	-0.397119403	0.052678343	-0.730839372	0.038085938	-0.154296875	-1.43359375	0	21.05
28	-0.370837599	-0.735687792	0.070696719	0.042480469	1.310058594	0.03125	0	21.05
33	0.02779948	0.060807288	0.85332036	0.693359375	-0.44140625	1.205078125	33.47	-10.4
34	0.003938802	0.797932923	-0.02195638	0.6953125	-1.234375	-0.376464844	33.47	-10.4
35	0.043684896	-0.008186849	-0.764876366	0.6953125	0.275390625	-1.174316406	33.47	-10.4
36	0.067464188	-0.758821666	0.077246092	0.693359375	1.0703125	0.362792969	33.47	-10.4
46	-0.4694224	0.069079787	0.785668552	-0.328125	-0.6640625	1.248046875	59.05	25.17
47	-0.492315561	0.73147732	0.083856307	-0.330078125	-1.391113281	-0.414550781	59.05	25.17
48	-0.456705719	0.0046875	-0.703434229	-0.328125	0.406738281	-1.330078125	59.05	25.17
49	-0.432832241	-0.713487208	0.047003873	-0.33203125	1.1875	0.455078125	59.05	25.17
50	-0.178710938	0.026660156	0.867138684	-0.104003906	-0.651855469	1.292480469	88.89	4.11
51	-0.203678399	0.818131506	0.031070963	-0.103515625	-1.354003906	-0.583984375	88.89	4.11
52	-0.166552722	0.059326172	-0.777311206	-0.103515625	0.412109375	-1.349609375	88.89	4.11
53	-0.135107413	-0.780485034	0.015592448	-0.107421875	1.201171875	0.48828125	88.89	4.11
67	-0.031770833	0.054003906	0.865315735	-0.146972656	-0.620605469	1.29296875	118.35	-6.21
68	-0.055598959	0.81959641	0.011035156	-0.144042969	-1.359375	-0.552734375	118.35	-6.21
69	-0.019677736	0.02664388	-0.771321595	-0.145507813	0.404296875	-1.344238281	118.35	-6.21
70	0.007910157	-0.758707643	0.087906897	-0.147949219	1.178222656	0.533691406	118.35	-6.21
83	-0.405078113	0.007568359	0.819173217	-0.94921875	-0.360839844	1.015625	148.91	20.44
84	-0.428955078	0.759814441	0.012613933	-0.94921875	-1.104003906	-0.368164063	148.91	20.44
85	-0.394319654	0.052132159	-0.7265625	-0.947265625	0.152832031	-1.119140625	148.91	20.44
86	-0.369205743	-0.735302806	0.113688149	-0.943359375	0.91015625	0.324707031	148.91	20.44
95	-0.106933594	0.035644531	0.87197268	-0.568359375	-0.029296875	1.283203125	188.04	-0.71
96	-0.134261072	0.819482446	0.040462241	-0.569335938	-1.372558594	0.047363281	188.04	-0.71
97	-0.090966798	-0.004573568	-0.773632765	-0.564453125	-0.10546875	-1.34375	188.04	-0.71
98	-0.067041017	-0.779003859	0.065169275	-0.569335938	1.197265625	-0.091796875	188.04	-0.71
21	0.443583518	0.081470929	0.638591826	0.665039063	0.287109375	1.2109375	234.46	-43.85
22	0.424235016	0.613802075	0.094335943	0.668945313	-1.194335938	0.580566406	234.46	-43.85
23	0.456526697	-0.001269531	-0.543343127	0.672363281	-0.450195313	-1.184570313	234.46	-43.85
24	0.474039704	-0.530761719	0.013753256	0.669921875	1.020996094	-0.520996094	234.46	-43.85
110	-0.557969928	0.023939122	0.742382288	-0.936523438	0.401367188	0.947265625	246.21	32.63
111	-0.580387354	0.681184888	0.033740234	-0.935546875	-1.053222656	0.4609375	246.21	32.63
112	-0.548014343	0.007682291	-0.651237011	-0.93359375	-0.58203125	-1.021484375	246.21	32.63
113	-0.524129391	-0.668064833	0.106513083	-0.9296875	0.912109375	-0.48046875	246.21	32.63
119	-0.106835939	0.006575521	0.871630847	0.05078125	0.491210938	1.275878906	275.91	-0.52
120	-0.138997391	0.819173157	0.052050781	0.0546875	-1.362304688	0.566894531	275.91	-0.52
121	-0.099283852	0.042692058	-0.775211632	0.053222656	-0.659179688	-1.2890625	275.91	-0.52
122	-0.0714681	-0.776367188	0.068229161	0.05078125	1.2109375	-0.541992188	275.91	-0.52
8	0.47164768	0.020459786	0.611007929	1.217773438	0.360839844	0.655273438	311.54	-46.34
9	0.449798822	0.594378352	0.077578552	1.221191406	-0.691894531	0.506347656	311.54	-46.34
10	0.475693226	0.059654627	-0.528870523	1.216308594	-0.533691406	-0.595214844	311.54	-46.34
11	0.502034485	-0.503401697	-0.014583333	1.212890625	0.4921875	-0.458496094	311.54	-46.34
128	-0.313492566	0.087890625	0.843717992	0.149414063	0.052734375	1.396484375	330.77	13.56
129	-0.335009754	0.791552782	0.049772132	0.15234375	-1.44140625	0.291015625	330.77	13.56
130	-0.295703113	-0.005647786	-0.755859375	0.151855469	-0.30859375	-1.389648438	330.77	13.56
131	-0.270100892	-0.762906909	0.037532553	0.1484375	1.266113281	-0.303222656	330.77	13.56
25	-0.408923566	0.015528944	0.809778452	0.037109375	-0.092773438	1.423828125	360	21.05
26	-0.432790369	0.761656046	0.063273512	0.041015625	-1.490234375	0.052734375	360	21.05
27	-0.397119403	0.052678343	-0.730839372	0.038085938	-0.154296875	-1.43359375	360	21.05
28	-0.370837599	-0.735687792	0.070696719	0.042480469	1.310058594	0.03125	360	21.05
